Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7517006802721088,0.34146341463414637,0.5957446808510638,0.43410852713178294,0.8079076578516667
Random Forest,0.826530612244898,0.4375,0.2978723404255319,0.35443037974683544,0.7925316564734258
